,Texto,Noticia,Frase/Pensamiento,Microficción
0,"Responde la DEA a Gertz: tenemos 95% de éxito en casos; la FGR, 5% https://t.co/JLkIFi0dLN https://t.co/7z2i9Gp1Uy",1,0,0
1,"Por un decreto presidencial, Cienfuegos es asesor de la Sedena en actual gobierno https://t.co/kSNV6ifK6g https://t.co/VLc9MgmBJI",1,0,0
2,Felipe Calderón y Fidel Herrera ocultaron la violación a Ernestina Ascencio: perito https://t.co/cptLG3t1o2 https://t.co/joKe1Mblok,1,0,0
3,Confirma ISSSTE robo de vacunas en Morelos e informa de investigación en curso https://t.co/NroPFwC9T0 https://t.co/A1pOPfrFpR,1,0,0
4,"#AristeguiEnVivo | En el momento que regresaron a Cienfuegos a México, yo sabía que no lo iban a procesar. Es un caso de impunidad, pues las pruebas en contra del general son contundentes: Mike Vigil, Ex jefe de operaciones internacionales de la DEA https://t.co/rD0NgpirnJ https://t.co/cROHKQVAjc",1,0,0
5,#Alerta | García Harfuch recibía 200 mil dólares mensuales de Guerreros Unidos: testigo https://t.co/Z7qy8CUTVt https://t.co/Ve7zjK2wwo,1,0,0
6,Captan a López-Gatell de vacaciones en playas de Oaxaca en plena pandemia https://t.co/ootiNjmJ9r https://t.co/144Uegx0TF,1,0,0
7,"FGR se declara incompetente para investigar a Félix Salgado Macedonio por presunta violación
https://t.co/wcmbGhu8lw https://t.co/BqbGiuVZmV",1,0,0
8,'Entonces qué... ¿los de la DEA son unos pendejos?' https://t.co/hC90sE6Z3j https://t.co/OMQgoazjoM,1,0,0
9,Merkel insta a los alemanes a dejar de quejarse por la lenta distribución de vacunas https://t.co/rEcewGHQhi https://t.co/0Kx0PuPWKj,1,0,0
10,AMLO a Loret de Mola: te cambio la plusvalía de mi quinta en Palenque por tu departamento en EU https://t.co/x7rznVPrdc https://t.co/aTELgF71mE,1,0,0
11,Revelan ‘lavado’ por mil millones de pesos en la CDMX durante gobiernos de Mancera y Amieva https://t.co/SIEDx4tZT0 https://t.co/9O35IcFCTz,1,0,0
12,"Intuban al cardenal Norberto Rivera por Covid-19; ya recibió la extremaunción: exvocero
https://t.co/eGk31elr7T https://t.co/nkeduIUnPG",1,0,0
13,Busca ser diputada federal por 'Va por México' la reclutadora de Cuauhtémoc Gutiérrez https://t.co/egK2dyOSiq https://t.co/0red1ZzbMi,1,0,0
14,"Es necesario definir cuándo se hizo la prueba el presidente AMLO y hacer una cuenta hacia atrás en los días para comenzar a rastrear la posible cadena de contagio. 'Va a ser una tarea enorme, pues el presidente no usa cubrebocas': @roslemusmartin 👉https://t.co/kwLNebwZAU https://t.co/D2yV8TUQuy",1,0,0
15,Presentan en Morena tercera acusación de violación contra Félix Salgado Macedonio. Consulta aquí el documento 👉 https://t.co/4973M6GqHg https://t.co/rKeDaXqyUw,1,0,0
16,"Suspender construcción del muro con México, entre las primeras medidas de Biden https://t.co/JGxtnhYqia https://t.co/SBwIQfuYGB",1,0,0
17,Cossío analiza el libro 'Un daño irreparable. La criminal gestión de la pandemia en México' https://t.co/EXxOuH3HA0 https://t.co/jjQB4vznv3,1,0,0
18,"Suspende Twitter cuentas afines a AMLO; 'no permitimos spam ni manipulación', argumenta https://t.co/ThRdPVSZl5 https://t.co/hAuO0H3KXc",1,0,0
19,"Matan a defensor comunitario en Oaxaca que luchó contra megaproyectos hidroeléctricos
https://t.co/eoPdTxZhUB https://t.co/35QpMerSnQ",1,0,0
20,Renuncia la ministra de Trabajo de Austria tras descubrirse que plagió sus tesis https://t.co/ckoMqqvmr0 https://t.co/QA3kMBXSvP,1,0,0
21,López-Gatell no ha entregado el documento que prometió sobre semáforo de Covid-19: Aristegui https://t.co/VVlwJK1LOA https://t.co/eMLbUZG8Yl,1,0,0
22,"En EU, estábamos listos para juzgar a Cienfuegos, pero México pidió retirar cargos: Mike Vigil https://t.co/9x35utBw5h https://t.co/qVHINgYyeK",1,0,0
23,"Por un decreto presidencial, Cienfuegos es asesor de la Sedena en actual gobierno
https://t.co/XQN0V9qwsY https://t.co/ecTuUXDCqt",1,0,0
24,"'Entonces qué... ¿los de la DEA son unos pendejos?'
https://t.co/sxZGOqz0pp https://t.co/H1XTMCQu9N",1,0,0
25,"Separan del cargo temporalmente a médico que uso influencias para vacunar a su familia en Edomex
https://t.co/kHzCYPTPck https://t.co/NoaXZTuBfZ",1,0,0
26,"#ÚltimaHora FGR determina no ejercicio de acción penal en favor de Salvador Cienfuegos 
https://t.co/FqcfJVZVAm https://t.co/JqiH5AXBmR",1,0,0
27,"Responde exdirector de operaciones internacionales de la DEA a Gertz Manero: tenemos 95% de éxito en casos; la FGR, 5% https://t.co/UhQacwQ84o https://t.co/84wESsbgUv",1,0,0
28,"'Si no lo iban a procesar, ¿por qué no dejaron al general Salvador Cienfuegos aquí en los EE.UU.? ¿Tenían temor de lo que iba a declarar?', preguntó Mike Vigil, exdirector de Operaciones de la DEA.

Aquí toda la información 👉 https://t.co/x8cCBgIaJ4 https://t.co/8cVvamImLC",1,0,0
29,Desmiente Rusia que empresario mexicano haya comprado 2 millones de dosis de Spunik V https://t.co/LP0NQmrwxZ https://t.co/3VdsMZNdBS,1,0,0
30,En Wuhan salen a las calles a celebrar la llegada del 2021 https://t.co/FxMSbfNzX1 https://t.co/HDz8RjCzB5,1,0,0
31,Revelan 'lavado' por mil millones de pesos en la CDMX durante gobiernos de Mancera y Amieva https://t.co/cYCuVshxqW https://t.co/2jqmMtivmP,1,0,0
32,Teníamos gobierno 'mantenido y bueno para nada': AMLO https://t.co/DH0sFvAFTI https://t.co/3aQQxH1zQP,1,0,0
33,"Con Félix Salgado, Acapulco se volvió madriguera de narcotraficantes: Anabel Hernández | #Entérate
https://t.co/dV9mkpBWCc https://t.co/IQ1UH5KG0G",1,0,0
34,#ÚltimaHora | AMLO da positivo a Covid-19 https://t.co/t4Y9KyZGoN https://t.co/DBBg8SyXwm,1,0,0
35,"Hallan escultura femenina de casi 2 metros de altura en Veracruz; es la primera en su tipo: INAH
https://t.co/cJ8FlhHjb2 https://t.co/vlYjWukckJ",1,0,0
36,"#AristeguiEnVivo | Yo no llegaría a decir que son pendejos los de la DEA -todavía- pero llevaron en secreto un asunto que deberían haber llevado en colaboración con México de acuerdo con los convenios: Alejandro Gertz Manero, titular de @FGRMexico 

Aquí 👉https://t.co/Yr4FpDQ4AE https://t.co/HEoyYyqiKO",1,0,0
37,¡Bravo! Policía de la CDMX regresa a joven mochila con 30 mil pesos que usaría para comprar un tanque de oxígeno https://t.co/Rw5ljm8MdZ https://t.co/hOyXwANqFI,1,0,0
38,Aumenta demanda de Signal y Telegram ante debate por condiciones de uso de WhatsApp https://t.co/ymFA2Py7qu https://t.co/pSXv2jSawd,1,0,0
