,Texto,Texto limpio,Noticia,Frase/Pensamiento,Microficción
0,"Responde la DEA a Gertz: tenemos 95% de éxito en casos; la FGR, 5% https://t.co/JLkIFi0dLN https://t.co/7z2i9Gp1Uy",responde dea gertz éxito casos fgr,1,0,0
1,"Por un decreto presidencial, Cienfuegos es asesor de la Sedena en actual gobierno https://t.co/kSNV6ifK6g https://t.co/VLc9MgmBJI",decreto presidencial cienfuegos asesor sedena actual gobierno,1,0,0
2,Felipe Calderón y Fidel Herrera ocultaron la violación a Ernestina Ascencio: perito https://t.co/cptLG3t1o2 https://t.co/joKe1Mblok,felipe calderón fidel herrera ocultaron violación ernestina ascencio perito,1,0,0
3,Confirma ISSSTE robo de vacunas en Morelos e informa de investigación en curso https://t.co/NroPFwC9T0 https://t.co/A1pOPfrFpR,confirma issste robo vacunas morelos informa investigación curso,1,0,0
4,"#AristeguiEnVivo | En el momento que regresaron a Cienfuegos a México, yo sabía que no lo iban a procesar. Es un caso de impunidad, pues las pruebas en contra del general son contundentes: Mike Vigil, Ex jefe de operaciones internacionales de la DEA https://t.co/rD0NgpirnJ https://t.co/cROHKQVAjc",aristeguienvivo momento regresaron cienfuegos méxico sabía iban procesar caso impunidad pues pruebas general contundentes mike vigil ex jefe operaciones internacionales dea,1,0,0
5,#Alerta | García Harfuch recibía 200 mil dólares mensuales de Guerreros Unidos: testigo https://t.co/Z7qy8CUTVt https://t.co/Ve7zjK2wwo,alerta garcía harfuch recibía mil dólares mensuales guerreros unidos testigo,1,0,0
6,Captan a López-Gatell de vacaciones en playas de Oaxaca en plena pandemia https://t.co/ootiNjmJ9r https://t.co/144Uegx0TF,captan lópezgatell vacaciones playas oaxaca plena pandemia,1,0,0
7,"FGR se declara incompetente para investigar a Félix Salgado Macedonio por presunta violación
https://t.co/wcmbGhu8lw https://t.co/BqbGiuVZmV",fgr declara incompetente investigar félix salgado macedonio presunta violación,1,0,0
8,'Entonces qué... ¿los de la DEA son unos pendejos?' https://t.co/hC90sE6Z3j https://t.co/OMQgoazjoM,entonces dea pendejos,1,0,0
9,Merkel insta a los alemanes a dejar de quejarse por la lenta distribución de vacunas https://t.co/rEcewGHQhi https://t.co/0Kx0PuPWKj,merkel insta alemanes dejar quejarse lenta distribución vacunas,1,0,0
10,AMLO a Loret de Mola: te cambio la plusvalía de mi quinta en Palenque por tu departamento en EU https://t.co/x7rznVPrdc https://t.co/aTELgF71mE,amlo loret mola cambio plusvalía quinta palenque departamento eu,1,0,0
11,Revelan ‘lavado’ por mil millones de pesos en la CDMX durante gobiernos de Mancera y Amieva https://t.co/SIEDx4tZT0 https://t.co/9O35IcFCTz,revelan lavado mil millones pesos cdmx gobiernos mancera amieva,1,0,0
12,"Intuban al cardenal Norberto Rivera por Covid-19; ya recibió la extremaunción: exvocero
https://t.co/eGk31elr7T https://t.co/nkeduIUnPG",intuban cardenal norberto rivera covid19 recibió extremaunción exvocero,1,0,0
13,Busca ser diputada federal por 'Va por México' la reclutadora de Cuauhtémoc Gutiérrez https://t.co/egK2dyOSiq https://t.co/0red1ZzbMi,busca ser diputada federal va méxico reclutadora cuauhtémoc gutiérrez,1,0,0
14,"Es necesario definir cuándo se hizo la prueba el presidente AMLO y hacer una cuenta hacia atrás en los días para comenzar a rastrear la posible cadena de contagio. 'Va a ser una tarea enorme, pues el presidente no usa cubrebocas': @roslemusmartin 👉https://t.co/kwLNebwZAU https://t.co/D2yV8TUQuy",necesario definir cuándo hizo prueba presidente amlo hacer cuenta hacia atrás días comenzar rastrear posible cadena contagio va ser tarea enorme pues presidente usa cubrebocas roslemusmartin,1,0,0
15,Presentan en Morena tercera acusación de violación contra Félix Salgado Macedonio. Consulta aquí el documento 👉 https://t.co/4973M6GqHg https://t.co/rKeDaXqyUw,presentan morena tercera acusación violación félix salgado macedonio consulta aquí documento,1,0,0
16,"Suspender construcción del muro con México, entre las primeras medidas de Biden https://t.co/JGxtnhYqia https://t.co/SBwIQfuYGB",suspender construcción muro méxico primeras medidas biden,1,0,0
17,Cossío analiza el libro 'Un daño irreparable. La criminal gestión de la pandemia en México' https://t.co/EXxOuH3HA0 https://t.co/jjQB4vznv3,cossío analiza libro daño irreparable criminal gestión pandemia méxico,1,0,0
18,"Suspende Twitter cuentas afines a AMLO; 'no permitimos spam ni manipulación', argumenta https://t.co/ThRdPVSZl5 https://t.co/hAuO0H3KXc",suspende twitter cuentas afines amlo permitimos spam manipulación argumenta,1,0,0
19,"Matan a defensor comunitario en Oaxaca que luchó contra megaproyectos hidroeléctricos
https://t.co/eoPdTxZhUB https://t.co/35QpMerSnQ",matan defensor comunitario oaxaca luchó megaproyectos hidroeléctricos,1,0,0
20,Renuncia la ministra de Trabajo de Austria tras descubrirse que plagió sus tesis https://t.co/ckoMqqvmr0 https://t.co/QA3kMBXSvP,renuncia ministra trabajo austria tras descubrirse plagió tesis,1,0,0
21,López-Gatell no ha entregado el documento que prometió sobre semáforo de Covid-19: Aristegui https://t.co/VVlwJK1LOA https://t.co/eMLbUZG8Yl,lópezgatell entregado documento prometió semáforo covid19 aristegui,1,0,0
22,"En EU, estábamos listos para juzgar a Cienfuegos, pero México pidió retirar cargos: Mike Vigil https://t.co/9x35utBw5h https://t.co/qVHINgYyeK",eu listos juzgar cienfuegos méxico pidió retirar cargos mike vigil,1,0,0
23,"Separan del cargo temporalmente a médico que uso influencias para vacunar a su familia en Edomex
https://t.co/kHzCYPTPck https://t.co/NoaXZTuBfZ",separan cargo temporalmente médico uso influencias vacunar familia edomex,1,0,0
