index,Texto,Texto limpio,Categoría
6255,Todo su calzado se declaró en huelga. Para que resultase creíble tuvo que decir en el trabajo que su perro se dio un festín de zapatos.,calzado declaró huelga resultase creíble decir trabajo perro dio festín zapatos,Microficción
4240,"#AristeguiEnVivo | A partir de esta semana, le tocará a Joe Biden reparar los destrozos de la administración Trump: la pandemia, la reactivación económica, recomponer la agenda bilateral, entre otros, en palabras de @AnaLilia_PerezM, periodista https://t.co/6oQARdCDeb https://t.co/etY3IVFTEB",ustedes enojan ustedes mismos sentir cosas quieren sentir,Noticia
1733,"""No quiero que esto acabe nunca."" 3MSC",minuto minuto biden poder presidente número eu,Frase/Pensamiento
1986,"""Es fácil criticar, cuando el problema no es tuyo.""",lula da silva revela coronavirus cuba,Frase/Pensamiento
392,"Hay dos tipos de mí: 
1. No quiero salir de casa 
2. No quiero volver a casa",aristeguienvivo exista denuncia cienfuegos tlatlaya ayotzinapa entonces investigaremos elementos presente alejandro gertz manero titular fgrmexico aquí,Frase/Pensamiento
6516,"Arrastraba un desorden afectivo desde que se fue su primavera.
@Rmonociclo #Monoficción",arrastraba desorden afectivo primavera rmonociclo monoficción,Microficción
3890,Es inverosímil el contacto de un general de alto rango con un narco de medio pelo: Rodríguez https://t.co/SYFviw2ymU https://t.co/8EdybiTEIi,critique pasos presto zapatos,Noticia
615,"""Los verdaderos recuerdos, no están en las fotos, están en el corazón.""",alerta suspender construcción muro méxico primeras medidas biden,Frase/Pensamiento
610,"La cosa más tóxica que puede hacer a usted mismo, es dejar que demasiadas personas sepan su vida personal.",gráfico interactivo días fgr investigó decidió procesar cienfuegos,Frase/Pensamiento
3647,"Numerosa caravana de migrantes avanza por Centroamérica rumbo a EU
https://t.co/gSTDcZEKQh https://t.co/8hURAqw95C",si allá contigo,Noticia
1571,"Abuelas que antes de decirte tu nombre, nombran a todos tus primos.",representan imagen clara gran diversidad gran nación dijo equipo presidente electo invitados,Frase/Pensamiento
6700,"El martes en el teatro, entre bambalinas, la actriz principal sufrió un terrible ""accidente"". María no soportaba más ser la eterna secundaria.",martes teatro bambalinas actriz principal sufrió terrible accidente maría soportaba ser eterna secundaria,Microficción
