,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
0,Que ganas de no escuchar la palabra coronavirus nunca mas en la vida.,SoloReflexiones,TweetDeck,7941,16058
1,Por salud mental a veces es mejor no saber nada.,SoloReflexiones,TweetDeck,5826,13656
2,https://t.co/U0q1I3Wxj3,SoloReflexiones,TweetDeck,5410,13571
3,Somos lo que damos. https://t.co/A9GbJwoGEw,SoloReflexiones,TweetDeck,5302,12762
4,Verte triunfar. https://t.co/68v6KEJDkm,SoloReflexiones,TweetDeck,4969,13430
5,"""Conozco muy bien mi propia historia, por lo tanto, soy el único que puedo juzgarme, criticarme y aplaudirme cuando yo quiera.""",SoloReflexiones,TweetDeck,4949,2464
6,Tu mamá te lo dice y el tiempo te lo confirma.,SoloReflexiones,TweetDeck,4796,11077
7,Sanar. Aprender. Crecer. Seguir,SoloReflexiones,TweetDeck,4758,8041
8,"No saben ni la mitad, y hablan el doble.",SoloReflexiones,TweetDeck,4731,7521
9,"Se nos olvida que la vida es un ratito, que las personas no son eternas y que las oportunidades se acaban. Digan, hagan y quieran todo lo que puedan hoy, porque tal vez mañana ya no se pueda.",SoloReflexiones,TweetDeck,4536,7935
10,"No sé obliga a nadie a qué te escuche, a qué te dedique su tiempo, a qué se quede. No se obliga a nadie a qué te quiera con la misma intensidad que quieres tú, porque las acciones valen más cuando las hacen por iniciativa propia y no por obligación.",SoloReflexiones,TweetDeck,4260,8620
11,El error más común es suponer en vez de preguntar.,SoloReflexiones,TweetDeck,4157,8913
12,"Elige primero tu salud mental, y después a alguien que te ayude a cuidarla.",SoloReflexiones,TweetDeck,4146,8806
13,Tener la posibilidad de joder a quién nos jodió y no hacerlo. Eso es lo que distingue de la gente buena a la gente mala.,SoloReflexiones,TweetDeck,4046,9218
14,Merezco mucho. https://t.co/FFu5Kk6xBg,SoloReflexiones,TweetDeck,4035,9882
15,"Se debe diferenciar entre una persona fría y una desinteresada. La fría no puede decir palabras bonitas pero hará actos de amor. La desinteresada no te dará palabras bonitas, ni actos y además te dirá “yo soy así”. Ya basta de rebajarse por gente que no lo merece.",SoloReflexiones,TweetDeck,4009,9052
16,Qué rápido se le olvida a la gente todo lo que un día hiciste por ellos.,SoloReflexiones,TweetDeck,3970,8328
17,La delgada línea entre querer salir de una duda pero al mismo tiempo no querer tocar el tema.,SoloReflexiones,TweetDeck,3879,9404
18,"Cuando maduras no le temes al compromiso, le temes es a perder tu tiempo.",SoloReflexiones,TweetDeck,3801,9341
19,"Que ganas de salir a caminar con alguien y hablar de la vida, no pido tanto.",SoloReflexiones,TweetDeck,3780,9042
20,"Con el tiempo se aprende a querer más, pero a menos gente.",SoloReflexiones,TweetDeck,3768,7836
21,https://t.co/N40m47BYLx,SoloReflexiones,TweetDeck,3650,8775
22,Jamás. https://t.co/6KKtFgLM3P,SoloReflexiones,TweetDeck,3625,10067
23,"Consejo: 
No te emociones hasta que suceda.",SoloReflexiones,TweetDeck,3620,9446
24,Volvería al colegio solo por la cantidad de veces que me reía.,SoloReflexiones,TweetDeck,3474,7077
25,Tiempo al tiempo🌱 https://t.co/FZXFjWcR6X,SoloReflexiones,TweetDeck,3436,6978
26,https://t.co/t2YTkb0JLD,SoloReflexiones,TweetDeck,3414,8278
27,"Elige primero tu salud mental, y después a alguien que te ayude a cuidarla.",SoloReflexiones,TweetDeck,3399,8248
28,"""Del otoño aprendí que aunque las hojas caigan, el árbol sigue de pie.""",SoloReflexiones,TweetDeck,3398,1644
29,Recuerden lavarse las manos y no meterse en lo que no les importa.,SoloReflexiones,TweetDeck,3378,6114
30,https://t.co/dIXeY17dMd,SoloReflexiones,TweetDeck,3344,7587
31,Si vas a pedir perdón es para no repetirlo.,SoloReflexiones,TweetDeck,3294,7610
32,"""La clave está en encontrar a alguien con quien aburrirse sea divertido.""",SoloReflexiones,TweetDeck,3135,1679
33,"Donde se hablan y se aclaran las cosas para el bien de ambas personas, ahí es.",SoloReflexiones,TweetDeck,3105,7866
34,"""Preocúpate más por tu conciencia que por tu reputación; tu conciencia es lo que eres, tu reputación es lo que otros piensan que eres.""",SoloReflexiones,TweetDeck,3064,1453
35,"El corazón no es de quién lo rompe, es de quién lo arma.",SoloReflexiones,Hootsuite,3060,1805
36,Que bonito! https://t.co/6iCRCxh8sc,SoloReflexiones,TweetDeck,3002,10380
37,Quisiera meter a mi mamá en una cajita de cristal y que nunca le pase nada.,SoloReflexiones,TweetDeck,2942,6271
38,A veces la gente no se da cuenta del esfuerzo que haces para estar bien con ellos cuando no puedes ni contigo.,SoloReflexiones,TweetDeck,2903,5515
39,Dale tiempo al tiempo... https://t.co/g4Y2BsYYTu,SoloReflexiones,TweetDeck,2902,6076
40,"""No te des por vencido, lo bueno puede venir más pronto de lo que piensas.""",SoloReflexiones,TweetDeck,2884,1475
41,Los que somos de risa fácil somos también de lágrima fácil.,SoloReflexiones,TweetDeck,2822,6819
42,Es mentira. https://t.co/uryT0bIzvD,SoloReflexiones,TweetDeck,2820,6682
43,"Quédate con quien te cele poquito, te consienta mucho, te cuide bastante y te ame demasiado.",SoloReflexiones,TweetDeck,2759,7619
44,"""Vive la vida, disfruta el momento y a la mierda lo que diga el resto.""",SoloReflexiones,TweetDeck,2714,1204
45,"Lo inesperado, es lo mejor que te puede pasar.",SoloReflexiones,TweetDeck,2669,1206
46,"Mi soltería es tan linda, tan sana y tan tranquila que solo quiero dejarla por alguien que realmente valga la pena.",SoloReflexiones,TweetDeck,2669,7556
47,"Este año aprendí que hasta la persona más cercana puede pisarte, que ese amigo incondicional puede dejar de serlo en 10 minutos, que te pueden cambiar por cualquiera que se les cruce, que la persona menos esperada puede ser la mejor y que amigos de verdad son muy pocos.",SoloReflexiones,TweetDeck,2623,5175
48,"Si no me lo dejas claro, saco mis propias conclusiones.",SoloReflexiones,TweetDeck,2546,6029
49,"La distancia no separa, el desinterés sí.",SoloReflexiones,TweetDeck,2534,6616
50,La gota que derramó el vaso💜 https://t.co/RadjlrkhF4,SoloReflexiones,TweetDeck,2506,7308
51,"""Cada persona que conoces está peleando en una batalla de la que no sabes nada. Sé amable. Siempre"". 
- Robin Williams. https://t.co/MqY5y3nuIU",SoloReflexiones,TweetDeck,2484,6591
52,La paz mental comienza cuando tomas la decisión de romper vínculos que no suman en tu vida.,SoloReflexiones,TweetDeck,2443,6152
53,¿Vengarse? ¿Para qué? la gente mala se destruye sola.,SoloReflexiones,TweetDeck,2437,4652
54,"Concéntrate en ti, en cumplir tus metas, en hacer lo que te gusta, y si alguien aparece y quiere caminar junto a ti, pues está bien, y si es lo contrario, pues adelante sigue haciéndolo sin esa persona. El secreto está en no complicarte la vida por nadie.",SoloReflexiones,TweetDeck,2424,5291
55,Me parece un detallazo que te enseñen o dediquen canciones.,SoloReflexiones,TweetDeck,2423,6392
56,"""Lucha siempre por tu felicidad y deshazte de todo lo que te impida salir adelante.""",SoloReflexiones,TweetDeck,2413,1124
57,"""Para que una herida sane hay que dejar de tocarla.""",SoloReflexiones,TweetDeck,2390,1386
58,"Me gusta estar rodeado de gente sana, que no juzga y se ríe de todo.",SoloReflexiones,TweetDeck,2387,5120
