,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
0,Sonrió a la mujer que se sentó junto a él en el parque. Fue sutil pero ella le recordó que tenía alzheimer y que ya estaban casados.,Narratorio,TweetDeck,120,320
1,"Le ataron en medio del campo a unos tablones y le dejaron a su suerte, mecido por el viento. Lo peor es la soledad,pensaba el espantapájaros",Narratorio,TweetDeck,28,70
2,"-La culpa es del corazón que me donaron, era de un asesino.
Los policías se miraron sorprendidos. Fue suficiente para que sacara el arma y los liquidara.
-Idiotas- mira que creer semejante tontería…
#Panicosiniestro",Narratorio,TweetDeck,13,29
3,"-Dicen que si te tatúas su firma él se queda con tu alma.
-Jajaja. Qué cosas se cree la gente,¿Verdad?
-Pues sí. Pero es el tatuaje más popular en el estudio, te lo hago al 50% por ser tú.
-Venga, va.
Al tatuador le brillaron los ojos de un sospechoso color rojo.
#PanicoSiniestro",Narratorio,TweetDeck,13,27
4,"Delicioso, pensó sorprendido mientras masticaba, y se rió al recordar que casi se entrega a la poli porque no sabía qué hacer con el cadáver",Narratorio,TweetDeck,12,23
5,"La madre superiora no dudaba en aplicar severos correctivos. Tras años de desapariciones en el convento, las monjas descubrieron que la madre superiora había muerto hacía medio siglo. #panicosiniestro",Narratorio,TweetDeck,12,20
6,"Sopló las velas y pidió un deseo.
-No seas infantil -dijo la sombra que le acompañaba- no es tu cumpleaños, es tu velatorio. #microhorror",Narratorio,Twitter for Android,11,18
7,"-No temáis, Dios nos protegerá – dijo la madre superiora a las novicias, que se arremolinaban en la capilla. 
Las miradas de odio y dolor que las novicias le dedicaron minutos después la persiguieron hasta el más allá. #panicosiniestro",Narratorio,TweetDeck,11,15
8,"Cuando se prendieron las luces de la sala supo que el cine no tenía una gotera, sino el cadáver del operador colgando. #microhorror",Narratorio,Twitter for Android,11,18
9,DECEPCIÓN. Lo que más odiaba de los viajes astrales era que no se podía hacer fotos.,Narratorio,TweetDeck,10,19
10,"Los adolescentes entraron decididos al convento abandonado. Por supuesto que no estaba encantado, pero no imaginaban que hubiera un loco disfrazado de monja que los torturaría hasta la muerte. #panicosiniestro.",Narratorio,TweetDeck,10,16
11,El mundo estaba tan mal que el infierno se había vuelto una zona peligrosa hasta para el demonio.,Narratorio,TweetDeck,10,17
12,"Paradójicamente, la calle Derechos Humanos era una vía privada. #Monoficción",Narratorio,TweetDeck,10,15
13,Adoraba usar un hacha mellada y dejar a sus víctimas moribundas entre jirones de carne. Matar instantáneamente era de débiles #microhorror,Narratorio,Twitter for Android,10,12
14,"Vendí mi alma al diablo para que volvieras de entre los muertos y lo hiciste, con sed de sangre y hambre de carne humana. Ahora me persigues para darme caza. #panicosiniestro",Narratorio,TweetDeck,10,19
15,"Inicialmente estaba previsto que despertara en una bañera llena de hielo, pero la chica se había vuelto codiciosa. ¿Para qué llevarse un riñón si podía llevarse los dos? Y un hígado, y un corazón…
#Panicosiniestro",Narratorio,TweetDeck,9,7
16,@isa_arredondop Lee algo más divertido. Las rupturas son un cuchillo al rojo vivo que te recorre dejando cicatrices secas. Inevitables pero insufribles. https://t.co/7AlaWapkXY,Narratorio,Twitter for Android,9,22
17,"Todos en el centro comercial estaban sobrecogidos. ¿Cómo podían tragarse unas escaleras mecánicas a alguien? La maquinaria, ahora parada, aún se deleitaba con la sangre de la nueva víctima.
#panicosiniestro",Narratorio,TweetDeck,9,10
18,"Gritaba tan fuerte en su cabeza que acabó haciéndole caso para que se callara. Un baño de sangre lo callaba por una semana.

#PanicoSiniestro",Narratorio,TweetDeck,9,12
19,"Creía que los relatos de las abducciones eran exagerados. A las tres horas de estar en un OVNI deseó que ya le cerraran, le pusieran la sonda anal y le dejaran libre.
#panicosiniestro",Narratorio,TweetDeck,9,9
20,Al tercer día la tierra estaba arrasada. Nadie sabría que tres niños jugando con una ouija habían causado tal desastre tras invocar a Cthulhu y su ejército. #panicosiniestro,Narratorio,TweetDeck,8,18
21,"En primavera el trabajo de saqueador de tumbas estaba en horas bajas. Decidieron invocar a la niña de la curva, pero no cerraron el portal y se les fue de las manos. Tuvieron que ampliar la plantilla.
#panicosiniestro",Narratorio,TweetDeck,8,13
22,"-No entres, esta casa está encantada.
- En serio, te crees unas cosas... - dijo perdiéndose en la oscuridad del pasillo. Su hermanito sigue esperando desde hace días que regrese.
#PanicoSiniestro",Narratorio,TweetDeck,8,20
23,"Te invoqué con la mirada y solícita acudiste. Nuestro romance fue mágico, digno de la mayor historia de amor. Pero algo ha cambiado. No quiero pensar por qué estoy aquí atado pero me parece que te has tomado muy en serio que mi corazón te pertenece. #panicosiniestro",Narratorio,TweetDeck,8,24
24,"-Dicen que, si te asomas, en la noche el fantasma de la señora O'Neill viene a buscarte. 
-Qué bobada - le respondió, y metió medio cuerpo en el pozo. 
De un leve empujón cayó dentro encontrándose con los otros 7 jóvenes de su instituto desaparecidos.",Narratorio,TweetDeck,8,17
25,"Miraban extrañados la librería.
-Son como películas- trató de explicar el anciano-pero con letras.
-Pero no tenemos electricidad, ¿funcionarán igual?
#monoficción",Narratorio,Twitter Web Client,8,11
26,"No había luz en el portal, la puerta del piso estaba abierta.Sin pensarlo, entré de un salto y disparé a tres sombras.Era mi fiesta sorpresa",Narratorio,TweetDeck,8,22
27,"Alguien tenía que hacer algo contra el cambio climático, y ya que los humanos no se decidían, los alienígenas decidieron exterminar a la población de los 10 países que más contaminaban. #panicosiniestro",Narratorio,TweetDeck,8,16
28,"-¿Qué llevas en el canasto?
-Dentro de poco a ti.",Narratorio,TweetDeck,8,24
29,No entendía a quienes mataban de un disparo. Nada se equiparaba al sonido de los huesos quebrándose bajo el peso de un hacha. #microhorror,Narratorio,Twitter for Android,8,16
30,"“Si no mandas esta carta a diez personas antes de tres días morirás en agonía” rezaba el final. Pese a enviarla a un centenar el sexto día su destino ya estaba sellado.

#PanicoSiniestro",Narratorio,TweetDeck,8,12
31,"-La reunión anual de parásitos fue muy productiva. Enseñaron una forma para dominar los cerebros de los humanos. En meses, esclavizaron a la humanidad. #panicosiniestro",Narratorio,TweetDeck,8,13
32,La RAE fue declarada organización terrorista el día en que a un político le dio por leer la definición de democracia.,Narratorio,TweetDeck,8,15
33,"-No subas- le gritó un anciano que se desplomó en el pasillo del metro.
Lo miró con sorna. Las puertas se cerraron tras él y una neblina empezó a invadir el vagón. Aquel tren no volvería a detenerse hasta dentro de 30 años.
#panicosiniestro",Narratorio,TweetDeck,8,14
