,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
0,"Responde la DEA a Gertz: tenemos 95% de éxito en casos; la FGR, 5% https://t.co/JLkIFi0dLN https://t.co/7z2i9Gp1Uy",AristeguiOnline,Hootsuite Inc.,4484,14389
1,"Por un decreto presidencial, Cienfuegos es asesor de la Sedena en actual gobierno https://t.co/kSNV6ifK6g https://t.co/VLc9MgmBJI",AristeguiOnline,Hootsuite Inc.,4426,9122
2,Felipe Calderón y Fidel Herrera ocultaron la violación a Ernestina Ascencio: perito https://t.co/cptLG3t1o2 https://t.co/joKe1Mblok,AristeguiOnline,Hootsuite Inc.,1360,2496
3,Confirma ISSSTE robo de vacunas en Morelos e informa de investigación en curso https://t.co/NroPFwC9T0 https://t.co/A1pOPfrFpR,AristeguiOnline,Hootsuite Inc.,1163,2410
4,"#AristeguiEnVivo | En el momento que regresaron a Cienfuegos a México, yo sabía que no lo iban a procesar. Es un caso de impunidad, pues las pruebas en contra del general son contundentes: Mike Vigil, Ex jefe de operaciones internacionales de la DEA https://t.co/rD0NgpirnJ https://t.co/cROHKQVAjc",AristeguiOnline,Twitter Web App,805,1924
5,#Alerta | García Harfuch recibía 200 mil dólares mensuales de Guerreros Unidos: testigo https://t.co/Z7qy8CUTVt https://t.co/Ve7zjK2wwo,AristeguiOnline,Hootsuite Inc.,770,1758
6,Captan a López-Gatell de vacaciones en playas de Oaxaca en plena pandemia https://t.co/ootiNjmJ9r https://t.co/144Uegx0TF,AristeguiOnline,Hootsuite Inc.,735,3394
7,"FGR se declara incompetente para investigar a Félix Salgado Macedonio por presunta violación
https://t.co/wcmbGhu8lw https://t.co/BqbGiuVZmV",AristeguiOnline,Hootsuite Inc.,700,1254
8,'Entonces qué... ¿los de la DEA son unos pendejos?' https://t.co/hC90sE6Z3j https://t.co/OMQgoazjoM,AristeguiOnline,Hootsuite Inc.,697,2131
9,Merkel insta a los alemanes a dejar de quejarse por la lenta distribución de vacunas https://t.co/rEcewGHQhi https://t.co/0Kx0PuPWKj,AristeguiOnline,Hootsuite Inc.,600,1779
10,AMLO a Loret de Mola: te cambio la plusvalía de mi quinta en Palenque por tu departamento en EU https://t.co/x7rznVPrdc https://t.co/aTELgF71mE,AristeguiOnline,Hootsuite Inc.,578,3329
11,Revelan ‘lavado’ por mil millones de pesos en la CDMX durante gobiernos de Mancera y Amieva https://t.co/SIEDx4tZT0 https://t.co/9O35IcFCTz,AristeguiOnline,Hootsuite Inc.,533,1153
12,"Intuban al cardenal Norberto Rivera por Covid-19; ya recibió la extremaunción: exvocero
https://t.co/eGk31elr7T https://t.co/nkeduIUnPG",AristeguiOnline,Twitter for iPhone,499,1503
13,Busca ser diputada federal por 'Va por México' la reclutadora de Cuauhtémoc Gutiérrez https://t.co/egK2dyOSiq https://t.co/0red1ZzbMi,AristeguiOnline,Hootsuite Inc.,495,515
14,"Es necesario definir cuándo se hizo la prueba el presidente AMLO y hacer una cuenta hacia atrás en los días para comenzar a rastrear la posible cadena de contagio. 'Va a ser una tarea enorme, pues el presidente no usa cubrebocas': @roslemusmartin 👉https://t.co/kwLNebwZAU https://t.co/D2yV8TUQuy",AristeguiOnline,Twitter Web App,480,1510
15,Presentan en Morena tercera acusación de violación contra Félix Salgado Macedonio. Consulta aquí el documento 👉 https://t.co/4973M6GqHg https://t.co/rKeDaXqyUw,AristeguiOnline,Hootsuite Inc.,471,952
